product_id,product,mail_class,fy,revenue,attributable_cost,volume_variable_cost,product_specific_cost,rev_pc,attributable_cost_pc,cont_pc,cost_coverage,volume,weight,weight_pc
42,Bound Printed Matter Flats,Package Services,2009,206.445151,118.83889884318269,118.83889884318269,0,0.8645141905956898,0.4976523495322839,0.3668618410634059,1.7371849874881515,238799.031,332350.809,22.268151263980634
43,Bound Printed Matter Parcels,Package Services,2009,362.608191,371.1497593879198,371.1497593879198,0,1.3399015714133335,1.371464181385672,-0.03156260997233851,0.9769861944622944,270623.006,780716.431,46.15817066195769
44,Media and Library Mail,Package Services,2009,397.398029,472.36113524797537,472.36113524797537,0,2.8357464770706,3.3706670074715324,-0.5349205304009326,0.841301282738636,140138.772,314553.264,35.91334612237076
83,Total Package Services (Domestic),Summary,2009,1682.577458,1735.9125124559546,1735.9125124559546,0,2.2863895598276174,2.3602800748749333,-0.07389051504731592,0.9686941749693704,731155.3369999999,1887127.359889468,41.01496253098399
85,US Postal Service Mail,Other,2009,,,,,,,,,454864.854,126141.454,4.437061351853753
86,Free Mail,Other,2009,0,54.15842367201784,54.15842367201784,0,0,0.87411112645147,,,61958.282,30243.412,7.810006610577098
51,Certified Mail,Special Services,2009,729.8130259999999,659.479506542485,659.464506542485,0.015,2.7386053274251556,2.4746805354293064,0.2639247919958492,1.1066500456189443,266490.764,,
52,COD,Special Services,2009,7.564147,6.596176426477429,6.596176426477429,0,7.4508567235188945,6.497383707209312,0.9534730163095828,1.1467472230786735,1015.205,,
54,Insurance,Special Services,2009,129.069205,116.8692950947433,116.8672950947433,0.002,2.948979057938531,2.6702349623245625,0.2787440956139684,1.1043893513293335,43767.42,,
55,Registered Mail,Special Services,2009,49.905881,50.585582758396306,50.585582758396306,0,15.683922605348814,15.89753249580255,-0.21360989045373557,0.986563330472189,3181.977,,
58,Other Domestic Ancillary Services,Special Services,2009,751.479542,519.7068421426262,519.6338421426262,0.073,,,,,1301738.567,,
109,Total International Ancillary Services,Special Services,2009,25.645055844997938,37.40985801213078,37.40985801213078,,,,,,16891.051999999996,,
73,Money Orders,Special Services,2009,191.1,146.13492614018324,143.03593214018323,3.0989940000000002,1.4151419148151216,1.0821646216608334,0.33297729315428826,1.3076956005485165,135039.46,,
91,Total Special Services (Domestic),Summary,2009,2825.196796844998,2213.469745679902,2206.2911535699022,7.17859211,,,,,1768124.445,,
131,Priority Mail Express,Competitive,2009,884.571111,553.3120009736624,544.3732101964006,8.93879077726188,18.81454800868645,11.768771415485823,7.045776593200628,1.5986841229603213,47015.273,44914.777,15.285169821304665
