product_id,fy,volume,revenue,attributable_cost,volume_variable_cost,product_specific_cost,weight
58,2010,1605496227.0,807075588.0,494109194.0,494109194.0,,
109,2010,2752831.0,29387844.0,27402399.0,27402399.0,,
73,2010,123404756.0,183152827.0,126338894.0,123299669.0,3039225.0,
266,2010,2043325767.0,,,,,
131,2010,42552965.0,827897984.0,495559520.0,489662958.0,5896562.0,39794417.0
132,2010,809470603.0,5656639116.0,4246634295.0,4128375674.0,118258621.0,1698402755.0
255,2010,296824042.0,568756170.0,419897471.0,419891492.0,,1058066844.0
256,2010,289053798.0,1490160256.0,979111627.0,973471698.0,5639929.0,291348997.310806
3,2011,24550823641.0,11201600776.0,6848209223.0,6824301793.0,23907430.0,769643158.0
4,2011,1295941093.0,379162450.0,336434654.0,335172675.0,1261979.0,8279536.0
5,2011,25846764734.0,11580763226.0,7184643877.0,7159474468.0,25169409.0,777922694.0
8,2011,41740735339.0,14891080210.0,4963358878.0,4957935036.0,5423842.0,2210724710.0
9,2011,2753762510.0,597342731.0,220231339.0,219873512.0,357827.0,22478610.0
10,2011,44494497849.0,15488422941.0,5183590217.0,5177808548.0,5781669.0,2233203320.0
14,2011,2230919856.0,2814198117.0,1946399206.0,1944778519.0,1620687.0,455320506.0
19,2011,637982206.0,1284462449.0,1168973307.0,1168367563.0,605744.0,208796413.0
101,2011,310335185.0,647663662.0,438475606.0,437903028.0,572577.0,54178259.0
102,2011,238078053.0,136316821.0,172462693.0,172023432.0,439261.0,58133674.112337
262,2011,73758577883.0,32097933429.0,16094544905.0,16060355558.0,34189347.0,3787554866.112338
21,2011,5653874948.0,767934734.0,349009794.0,347855276.0,1154518.0,237736151.0
22,2011,11424568140.0,1880643586.0,882760888.0,880427999.0,2332889.0,2144022645.0
23,2011,9335928374.0,2222005488.0,1647827365.0,1645914474.0,1912891.0,1993085265.0
25,2011,50584189204.0,9707631806.0,5288553756.0,5278196845.0,10356911.0,2666837031.0
26,2011,6783186365.0,2491077079.0,3142861579.0,3141474724.0,1386855.0,1710266860.0
27,2011,733770153.0,650673222.0,767297783.0,767212147.0,85636.0,321571215.0
139,2011,175741965.0,38143821.0,23281000.0,23281000.0,,18419209.0
263,2011,84691259149.0,17826150378.0,12078311164.0,12061081464.0,17229700.0,9091938376.0
31,2011,661561122.0,69180835.0,89249728.0,89212110.0,37618.0,192369949.0
32,2011,6415178344.0,1743551087.0,2340773780.0,2340409001.0,364779.0,2533036164.0
264,2011,7076739466.0,1821135301.0,2430023509.0,2429621112.0,402397.0,2725406113.0
